project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list
101272,20,3.0,2.0,128.0,0.787,0.78180013,0.79582274,1.0,Gerken Paving
102801,66,6.96,2.0,189.0,1.292,1.31675873,1.37392491,1.0,Gerken Paving
92968,768 / 36 / 308 / 13,15.6,2.0,172.0,5.223,5.68337534,6.0208588,1.0,Kokosing Construction
84405,535 / 283,1.09,4.0,172.0,1.023,0.93127305,0.88381436,6.0,"Chagrin Valley Paving, Karvo Companies, Burton Scot Contractors, Ronyak Paving, Barbicas Construction, Kokosing Construction"
99662,184,1.57,4.0,189.0,2.565,3.0119587,2.95145311,2.0,"Shelly, Crestline Paving & Excavating"
92920,57,3.24,2.0,190.0,1.578,1.45241577,1.43912339,7.0,"Karvo Companies, Shelly & Sands, Chagrin Valley Paving, Shelly, Ronyak Paving, Barbicas Construction, Kokosing Construction"
101281,18,7.54,2.0,128.0,3.108,2.60528167,2.91647884,3.0,"Erie Blacktop, M & B Asphalt, Gerken Paving"
100994,48,2.0,2.0,96.0,0.464,0.4671,0.47215265,1.0,Barrett Paving Materials
94126,532 / 224,,2.0,157.0,1.145,1.09140919,1.09383537,7.0,"Shelly & Sands, Karvo Companies, Barbicas Construction, Chagrin Valley Paving, Northstar Asphalt, Shelly, Allied Enterprises"
105933,14702,1.11,4.0,143.0,1.687,1.53176875,1.73590304,7.0,"Karvo Companies, Shelly, Perk, Barbicas Construction, Chagrin Valley Paving, Ronyak Paving, Burton Scot Contractors"
76420,670 / 315 / 25568,,4.0,143.0,2.326,2.89154562,3.0786158,3.0,"Shelly & Sands, Shelly, Kokosing Construction"
92011,35,7.94,4.0,204.0,2.923,2.42664165,2.769564,3.0,"Shelly & Sands, Shelly, Nuko Paving"
92888,10 / 47076 / 83,,4.0,113.0,0.585,0.4941751,0.45972212,6.0,"Chagrin Valley Paving, Karvo Companies, Barbicas Construction, Shelly, Ronyak Paving, Roads Asphalt Recycling"
91516,95,2.44,4.0,174.0,1.284,1.16629501,1.46880831,2.0,"Kokosing Construction, Shelly & Sands"
100487,159 / 35,,4.0,82.0,0.906,1.02743115,1.15946315,3.0,"Nuko Paving, Shelly, Shelly & Sands"
97680,23,0.91,4.0,174.0,1.813,1.89488854,1.97804211,2.0,"Shelly, Axis Civil Construction"
100630,36,13.64,2.0,189.0,2.26,2.2242144,2.29698427,2.0,"Shelly & Sands, Nls Paving"
102827,191 / 6,11.77,2.0,174.0,5.52,6.42567581,6.74256119,1.0,Gerken Paving
25596,71,10.28,4.0,402.0,15.284,14.69499032,15.95796852,4.0,"Shelly & Sands, Shelly, Kokosing Construction, John R Jurgensen"
95503,128,,2.0,159.0,0.622,0.7944315,0.8184171,2.0,"Shelly, Bluffton Paving"
83107,285 / 313 / 40,,2.0,479.0,4.939,4.9580535,5.08295287,2.0,"Shelly & Sands, Nls Paving"
84481,275 / 127,,4.0,161.0,3.042,3.28425533,3.12960365,2.0,"John R Jurgensen, Barrett Paving Materials"
100942,571 / 48,2.65,2.0,99.0,0.809,0.79147,0.8110010200000001,2.0,"Barrett Paving Materials, Walls Bros Asphalt"
105522,111,6.49,2.0,99.0,0.943,0.9578592,1.04751014,2.0,"Shelly, Gerken Paving"
92128,635,6.08,2.0,160.0,1.946,1.60491497,1.91018936,2.0,"M & B Asphalt, Gerken Paving"
102936,3,6.55,2.0,120.0,1.07,1.0140021,1.00630198,7.0,"Kokosing Construction, Shelly, Karvo Companies, Shelly & Sands, Melway Paving, Chagrin Valley Paving, Barbicas Construction"
101261,57,,4.0,176.0,1.765,1.9057456,1.90857261,4.0,"Northstar Asphalt, Chagrin Valley Paving, Karvo Companies, Kokosing Construction"
107725,60,17.59,2.0,99.0,3.448,3.5080558500000003,3.49929601,1.0,Shelly & Sands
94392,224,7.15,2.0,141.0,1.468,1.5688661000000002,1.53125862,4.0,"Shelly & Sands, Karvo Companies, Melway Paving, Kokosing Construction"
93137,216 / 155 / 595 / 93,14.26,2.0,125.0,2.248,2.20924635,2.51377657,2.0,"Shelly, Shelly & Sands"
94401,39 / 309,11.2,4.0,141.0,3.643,3.30699506,3.4746289900000003,2.0,"Shelly & Sands, Kokosing Construction"
79668,70 / 25421,8.76,4.0,429.0,4.983,5.3921389,5.49706661,3.0,"Kokosing Construction, Shelly, Shelly & Sands"
91864,747,2.85,4.0,398.0,2.553,2.5480102,2.46929829,2.0,"Barrett Paving Materials, John R Jurgensen"
102482,542 / 183,3.43,2.0,94.0,0.59,0.4943708599999999,0.48150464,4.0,"Superior Paving & Materials, Shelly, Barbicas Construction, Allied Enterprises"
105137,270,4.19,4.0,382.0,5.128,5.24048225,5.13458771,3.0,"Shelly, Shelly & Sands, Kokosing Construction"
95716,24,5.84,4.0,95.0,1.922,2.32414997,2.35175429,1.0,Gerken Paving
91742,143 / 124,18.57,2.0,122.0,3.177,3.4077988500000003,3.35805,1.0,Shelly
84539,145 / 26,9.51,2.0,140.0,1.957,1.84041455,1.91933762,2.0,"Shelly & Sands, Nls Paving"
97667,725,2.56,4.0,125.0,1.167,1.118318,1.04178291,2.0,"Barrett Paving Materials, John R Jurgensen"
96644,266,,2.0,126.0,2.906,3.18515215,3.14327787,1.0,Shelly & Sands
87721,71,13.52,4.0,429.0,8.513,8.5666362,8.32390471,2.0,"Shelly & Sands, Kokosing Construction"
