state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct,Project Num,bidders_count
Ohio,Jackson,39079,2018,2018-04-12 00:00:00,98152,327 / 124,4.675,2.0,171.0,1.218,1.07049331,1.2393853700000002,3.0,"Nuko Paving, Shelly & Sands, Shelly","['327', '327', '124', '327', '327']",15.77703087186973,180227,3
Ohio,Lake,39085,2018,2018-04-12 00:00:00,99645,528,6.18,2.0,202.0,1.006,0.96993966,1.06899606,6.0,"Ronyak Paving, Chagrin Valley Paving, Karvo Companies, Kokosing Construction, Burton Scot Contractors, Barbicas Construction","['528', '528', '528', '528', '528', '528', '528']",10.212635289085938,180228,6
Ohio,Logan,39091,2018,2018-04-12 00:00:00,100934,117 / 245,2.26,2.0,110.0,0.749,0.7885806,0.74617152,1.0,Shelly,"['117', '245']",-5.377900496157271,180229,1
Ohio,Miami,39109,2018,2018-04-12 00:00:00,100946,718 / 571,4.27,2.0,110.0,0.822,0.83902046,0.83300959,1.0,John R Jurgensen,"['571', '718', '571', '718']",-0.716415187300677,180230,1
Ohio,Morgan,39115,2018,2018-04-12 00:00:00,84516,60,10.94,2.0,141.0,2.545,2.99052535,2.935025,1.0,Shelly & Sands,"['60', '60']",-1.855872915439422,180231,1
Ohio,Ross,39141,2018,2018-04-12 00:00:00,104711,23 / 159,1.19,2.0,141.0,0.901,0.98358081,0.89722811,3.0,"Shelly & Sands, Shelly, Nuko Paving","['159', '23', '159', '23']",-8.779420981179985,180232,3
Ohio,Wayne,39169,2018,2018-04-12 00:00:00,103544,250,15.72,2.0,186.0,4.195,4.35814304,4.49101791,4.0,"Karvo Companies, Shelly, Kokosing Construction, Chagrin Valley Paving","['250', '250', '250']",3.0488873077465626,180237,4
Ohio,Wayne,39169,2018,2018-04-12 00:00:00,92892,83,1.36,4.0,155.0,0.792,0.7581163000000001,0.7239874599999999,5.0,"Karvo Companies, Chagrin Valley Paving, Barbicas Construction, Kokosing Construction, Melway Paving",['83'],-4.501794777397631,180238,5
Ohio,Sandusky,39143,2018,2018-04-26 00:00:00,95769,6,9.0,2.0,393.0,4.566,4.23073939,4.70946383,3.0,"Erie Blacktop, Gerken Paving, Kokosing Construction","['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']",11.315384755949236,180233,3
Ohio,Carroll,39019,2018,2018-04-26 00:00:00,100591,39,NA,2.0,157.0,1.925,1.70815609,1.76126903,6.0,"Superior Paving & Materials, Shelly & Sands, Shelly, Barbicas Construction, Allied Enterprises, Nls Paving","['39', '39']",3.1093727505897824,180249,6
Ohio,Clark,39023,2018,2018-04-26 00:00:00,92876,72,1.55,4.0,157.0,0.744,0.71260645,0.72197126,3.0,"Barrett Paving Materials, John R Jurgensen, Shelly",['72'],1.3141629576886371,180250,3
Ohio,Fulton,39051,2018,2018-04-26 00:00:00,101272,20,3.0,2.0,128.0,0.787,0.78180013,0.79582274,1.0,Gerken Paving,"['20', '20']",1.7936310652698322,180256,1
Ohio,Fulton,39051,2018,2018-04-26 00:00:00,102801,66,6.96,2.0,189.0,1.292,1.31675873,1.37392491,1.0,Gerken Paving,"['66', '66', '66', '66', '66', '66', '66']",4.341431630379248,180257,1
Ohio,Knox,39083,2018,2018-04-26 00:00:00,92968,768 / 36 / 308 / 13,15.6,2.0,172.0,5.223,5.68337534,6.0208588,1.0,Kokosing Construction,"['36', '308', '36', '13', '36', '308', '13', '768', '36', '308', '308', '36', '36', '36', '768', '36', '36']",5.938081506332478,180259,1
Ohio,Lake,39085,2018,2018-04-26 00:00:00,84405,535 / 283,1.09,4.0,172.0,1.023,0.93127305,0.88381436,6.0,"Chagrin Valley Paving, Karvo Companies, Burton Scot Contractors, Ronyak Paving, Barbicas Construction, Kokosing Construction","['283', '535']",-5.096109030536213,180260,6
Ohio,Lucas,39095,2018,2018-04-26 00:00:00,99662,184,1.57,4.0,189.0,2.565,3.0119587,2.95145311,2.0,"Shelly, Crestline Paving & Excavating",['184'],-2.0088452740072578,180262,2
Ohio,Medina,39103,2018,2018-04-26 00:00:00,92920,57,3.24,2.0,190.0,1.578,1.45241577,1.43912339,7.0,"Karvo Companies, Shelly & Sands, Chagrin Valley Paving, Shelly, Ronyak Paving, Barbicas Construction, Kokosing Construction","['57', '57', '57']",-0.9151911094989,180265,7
Ohio,Seneca,39147,2018,2018-04-26 00:00:00,101281,18,7.54,2.0,128.0,3.108,2.60528167,2.91647884,3.0,"Erie Blacktop, M & B Asphalt, Gerken Paving","['18', '18', '18']",11.944857002736285,180269,3
Ohio,Shelby,39149,2018,2018-04-26 00:00:00,100994,48,2.0,2.0,96.0,0.464,0.4671,0.47215265,1.0,Barrett Paving Materials,['48'],1.0817062727467333,180270,1
