state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct
Ohio,Mercer,39107,2018,2018-03-16 00:00:00,100937,49 / 219,,2.0,171.0,,1.9951523,2.12756153,,,"['49', '49', '219']",6.636547495647322
Ohio,Montgomery,39113,2018,2018-03-16 00:00:00,100962,40 / 35,,2.0,137.0,,0.9895,0.91808485,,,"['35', '35', '40']",-7.217296614451753
Ohio,Morrow,39117,2018,2018-03-16 00:00:00,103438,61 / 314 / 42,,2.0,213.0,,3.01622009,3.42982459,,,"['42', '314', '314', '61', '314', '42']",13.712676384964995
Ohio,Sandusky,39143,2018,2018-03-16 00:00:00,95765,412 / 590,,2.0,199.0,,1.6800169299999999,1.77782729,,,"['412', '412', '412', '590', '412', '412', '412', '412', '590']",5.821986567718708
Ohio,Logan,39091,2018,2018-03-16 00:00:00,103832,347,,2.0,113.0,,0.17727852,0.19943278,,,['347'],12.496866512649142
Ohio,Van Wert,39161,2018,2018-03-29 00:00:00,87210,30 / 697 / 190 / 189 / 66,,2.0,185.0,,2.05153378,2.13151588,,,"['30', '697', '66', '697', '66', '66', '190', '66', '189']",3.898648941573831
Ohio,Coshocton,39031,2018,2018-03-29 00:00:00,93010,36,,4.0,216.0,,3.54999531,3.89615212,,,"['36', '36', '36', '36', '36', '36']",9.75090893852477
Ohio,Cuyahoga,39035,2018,2018-03-29 00:00:00,85394,91,,2.0,155.0,,0.8838824599999999,0.95922092,,,['91'],8.523583554311069
Ohio,Washington,39167,2018,2018-03-29 00:00:00,101746,60,,2.0,170.0,,0.33136658,0.359591,,,['60'],8.51758194806488
Ohio,Wayne,39169,2018,2018-03-29 00:00:00,106519,21,,4.0,185.0,,1.66986565,1.8320878600000001,,,['21'],9.71468632820851
Ohio,Van Wert,39161,2018,2018-03-29 00:00:00,88851,709,,2.0,186.0,,1.1949614,1.2560020600000001,,,['709'],5.108170021224133
Ohio,Ashtabula,39007,2018,2018-04-12 00:00:00,88933,45 / 11,,4.0,169.0,,3.81638937,4.13334855,,,"['11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '45', '45']",8.305210744259044
Ohio,Richland,39139,2018,2018-04-12 00:00:00,98571,430 / 42 / 13,,4.0,184.0,,2.49765025,2.54673668,,,"['42', '430', '13', '42']",1.9653043895957816
Ohio,Coshocton,39031,2018,2018-04-12 00:00:00,92987,651 / 643 / 621,,2.0,202.0,,5.02547588,5.29041399,,,"['643', '643', '621', '651', '651', '651', '651', '643', '643']",5.271900936872074
Ohio,Cuyahoga,39035,2018,2018-04-12 00:00:00,85401,322,,4.0,186.0,,1.63889775,1.3118458100000001,,,"['322', '322']",-19.955603697668135
Ohio,Jackson,39079,2018,2018-04-12 00:00:00,98152,327 / 124,,2.0,171.0,,1.07049331,1.2393853700000002,,,"['327', '327', '124', '327', '327']",15.77703087186973
Ohio,Lake,39085,2018,2018-04-12 00:00:00,99645,528,,2.0,202.0,,0.96993966,1.0689960600000001,,,"['528', '528', '528', '528', '528', '528', '528']",10.212635289085938
Ohio,Logan,39091,2018,2018-04-12 00:00:00,100934,117 / 245,,2.0,110.0,,0.7885806,0.74617152,,,"['117', '245']",-5.377900496157271
Ohio,Miami,39109,2018,2018-04-12 00:00:00,100946,718 / 571,,2.0,110.0,,0.83902046,0.83300959,,,"['571', '718', '571', '718']",-0.716415187300677
Ohio,Morgan,39115,2018,2018-04-12 00:00:00,84516,60,,2.0,141.0,,2.99052535,2.935025,,,"['60', '60']",-1.855872915439422
Ohio,Ross,39141,2018,2018-04-12 00:00:00,104711,23 / 159,,2.0,141.0,,0.9835808100000001,0.89722811,,,"['159', '23', '159', '23']",-8.779420981179985
Ohio,Wayne,39169,2018,2018-04-12 00:00:00,103544,250,,2.0,186.0,,4.35814304,4.49101791,,,"['250', '250', '250']",3.0488873077465626
Ohio,Wayne,39169,2018,2018-04-12 00:00:00,92892,83,,4.0,155.0,,0.7581163000000001,0.7239874599999999,,,['83'],-4.501794777397631
Ohio,Sandusky,39143,2018,2018-04-26 00:00:00,95769,6,,2.0,393.0,,4.23073939,4.70946383,,,"['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']",11.315384755949236
Ohio,Carroll,39019,2018,2018-04-26 00:00:00,100591,39,,2.0,157.0,,1.7081560900000001,1.76126903,,,"['39', '39']",3.1093727505897824
Ohio,Clark,39023,2018,2018-04-26 00:00:00,92876,72,,4.0,157.0,,0.71260645,0.72197126,,,['72'],1.3141629576886373
Ohio,Fulton,39051,2018,2018-04-26 00:00:00,101272,20,,2.0,128.0,,0.78180013,0.79582274,,,"['20', '20']",1.7936310652698322
Ohio,Fulton,39051,2018,2018-04-26 00:00:00,102801,66,,2.0,189.0,,1.3167587299999999,1.37392491,,,"['66', '66', '66', '66', '66', '66', '66']",4.3414316303792475
Ohio,Knox,39083,2018,2018-04-26 00:00:00,92968,768 / 36 / 308 / 13,,2.0,172.0,,5.6833753399999996,6.0208588,,,"['36', '308', '36', '13', '36', '308', '13', '768', '36', '308', '308', '36', '36', '36', '768', '36', '36']",5.938081506332478
Ohio,Lake,39085,2018,2018-04-26 00:00:00,84405,535 / 283,,4.0,172.0,,0.93127305,0.88381436,,,"['283', '535']",-5.096109030536213
Ohio,Lucas,39095,2018,2018-04-26 00:00:00,99662,184,,4.0,189.0,,3.0119587,2.9514531099999997,,,['184'],-2.0088452740072578
Ohio,Medina,39103,2018,2018-04-26 00:00:00,92920,57,,2.0,190.0,,1.45241577,1.43912339,,,"['57', '57', '57']",-0.9151911094989001
Ohio,Seneca,39147,2018,2018-04-26 00:00:00,101281,18,,2.0,128.0,,2.60528167,2.91647884,,,"['18', '18', '18']",11.944857002736283
Ohio,Shelby,39149,2018,2018-04-26 00:00:00,100994,48,,2.0,96.0,,0.4671,0.47215265,,,['48'],1.0817062727467333
Ohio,Summit,39153,2018,2018-04-26 00:00:00,94126,532 / 224,,2.0,157.0,,1.09140919,1.09383537,,,"['532', '532', '532', '532', '532', '532', '532', '532', '532', '224', '532']",0.22229792659158895
Ohio,Cuyahoga,39035,2018,2018-05-10 00:00:00,105933,14702,,4.0,143.0,,1.53176875,1.73590304,,,['14702'],13.326704177768352
Ohio,Franklin,39049,2018,2018-05-10 00:00:00,76420,670 / 315 / 25568,,4.0,143.0,,2.89154562,3.0786157999999997,,,"['315', '670', '315', '315', '670', '315', '315', '25568', '315', '315']",6.469556582683265
Ohio,Jackson,39079,2018,2018-05-10 00:00:00,92011,35,,4.0,204.0,,2.42664165,2.769564,,,"['35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35']",14.13156120517423
Ohio,Lorain,39093,2018,2018-05-10 00:00:00,92888,10 / 47076 / 83,,4.0,113.0,,0.4941751,0.45972212,,,"['83', '10', '10', '10', '47076']",-6.971816265125453
Ohio,Marion,39101,2018,2018-05-10 00:00:00,91516,95,,4.0,174.0,,1.16629501,1.46880831,,,"['95', '95', '95']",25.937974303774137
Ohio,Ross,39141,2018,2018-05-10 00:00:00,100487,159 / 35,,4.0,82.0,,1.02743115,1.1594631499999999,,,"['159', '35', '35', '159']",12.850690773780796
Ohio,Scioto,39145,2018,2018-05-10 00:00:00,97680,23,,4.0,174.0,,1.89488854,1.97804211,,,['23'],4.388309298656696
Ohio,Tuscarawas,39157,2018,2018-05-10 00:00:00,100630,36,,2.0,189.0,,2.2242143999999997,2.29698427,,,"['36', '36', '36', '36']",3.2717111264094023
Ohio,Williams,39171,2018,2018-05-11 00:00:00,102827,191 / 6,,2.0,174.0,,6.4256758099999995,6.74256119,,,"['6', '191', '6', '6', '6']",4.931549448959836
Ohio,Madison,39097,2018,2018-05-24 00:00:00,25596,71,,4.0,402.0,,14.69499032,15.95796852,,,"['71', '71', '71', '71', '71', '71', '71', '71', '71', '71']",8.594617434222299
Ohio,Allen,39003,2018,2018-05-24 00:00:00,95503,128,,2.0,159.0,,0.7944315,0.8184171,,,['128'],3.0192156277791167
Ohio,Guernsey,39059,2018,2018-05-24 00:00:00,83107,285 / 313 / 40,,2.0,479.0,,4.9580535,5.08295287,,,"['285', '313', '313', '40', '285', '313', '313', '285', '313']",2.519121062328182
Ohio,Hamilton,39061,2018,2018-05-24 00:00:00,84481,275 / 127,,4.0,161.0,,3.28425533,3.12960365,,,"['275', '127', '127', '127']",-4.708881145364547
