project_number,bidder_name,address,city,state,zip,county,bidder_number,bid_amount,filename,awarded
180598,BURTON SCOT CONTRACTORS LLC,11330 KINSMAN RD,NEWBURY,OH,44065,Geauga,4,1130602.79,180598bidtab.pdf,False
180600,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,2295899.0,180600bidtab.pdf,True
180601,JOHN R JURGENSEN COMPANY,11641 MOSTELLER RD,CINCINNATI,OH,45241,Hamilton,1,5888749.77,180601bidtab.pdf,True
180601,BARRETT PAVING MATERIALS INC,3751 COMMERCE DR,MIDDLETOWN,OH,45055,Butler,2,6049017.36,180601bidtab.pdf,False
180607,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,3042424.93,180607bidtab.pdf,True
180607,"NLS PAVING, INC",67925 Bayberry Drive Suite B,St Clairsville,OH,43950,Belmont,2,3680000.0,180607bidtab.pdf,False
180609,"NLS PAVING, INC",67925 Bayberry Drive Suite B,St Clairsville,OH,43950,Belmont,1,2284000.0,180609bidtab.pdf,True
180609,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,2406298.88,180609bidtab.pdf,False
180609,BARBICAS CONSTRUCTION COMPANY INC,124 DARROW RD,AKRON,OH,44305,Summit,3,3113752.7,180609bidtab.pdf,False
180610,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,1494436.47,180610bidtab.pdf,True
180610,JOHN R JURGENSEN COMPANY,11641 MOSTELLER RD,CINCINNATI,OH,45241,Hamilton,2,1718297.4,180610bidtab.pdf,False
180611,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,3611668.44,180611bidtab.pdf,True
180611,KOKOSING CONSTRUCTION COMPANY INC,6235 WESTERVILLE RD,WESTERVILLE,OH,43081,Franklin,2,3791713.03,180611bidtab.pdf,False
180611,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,3,3878538.16,180611bidtab.pdf,False
180611,JOHN R JURGENSEN COMPANY,11641 MOSTELLER RD,CINCINNATI,OH,45241,Hamilton,4,4406622.75,180611bidtab.pdf,False
180621,JOHN R JURGENSEN COMPANY,11641 MOSTELLER RD,CINCINNATI,OH,45241,Hamilton,1,5441519.53,180621bidtab.pdf,True
180622,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,5165815.05,180622bidtab.pdf,True
180622,"NLS PAVING, INC",67925 Bayberry Drive Suite B,St Clairsville,OH,43950,Belmont,2,6075588.75,180622bidtab.pdf,False
184002,AXIS CIVIL CONSTRUCTION LLC,5715 WESTBOURNE AVENUE,COLUMBUS,OH,43213,Franklin,1,447699.86,184002bidtab.pdf,True
184002,ECLIPSE CO LLC,11554 EAST WASHINGTON ST,CHAGRIN FALLS,OH,44023,Geauga,2,775394.74,184002bidtab.pdf,False
187023,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,3508055.85,187023bidtab.pdf,True
188000,M & B ASPHALT CO INC,1525 WEST COUNTY RD #42,TIFFIN,OH,44883,Seneca,1,918732.9,188000bidtab.pdf,True
188000,BLUFFTON PAVING INC,P O BOX 26,BLUFFTON,OH,45817,Allen,3,984896.65,188000bidtab.pdf,False
188000,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,4,988535.87,188000bidtab.pdf,False
188001,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,2049892.28,188001bidtab.pdf,True
188001,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,2102212.85,188001bidtab.pdf,False
