state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct,Project Num
Ohio,Guernsey,39059,2018,2018-02-22 00:00:00,100999,265 / 376,,2.0,235.0,2.476,2.24228555,2.52384011,2.0,,"['265', '265', '376', '265', '265', '265', '265', '265']",12.556588075947795,180132
Ohio,Henry,39069,2018,2018-02-22 00:00:00,102763,281,,2.0,128.0,0.719,0.76674763,0.79089294,2.0,,"['281', '281']",3.1490557068953677,180137
Ohio,Jefferson,39081,2018,2018-02-22 00:00:00,95564,7,,4.0,251.0,2.27,1.69434,1.81484864,2.0,,['7'],7.112423716609414,180139
Ohio,Lawrence,39087,2018,2018-02-22 00:00:00,83064,52 / 83064,,4.0,190.0,1.585,1.60997251,1.61184753,1.0,,"['52', '52', '52', '83064']",0.1164628581142636,180140
Ohio,Logan,39091,2018,2018-02-22 00:00:00,102974,68,,2.0,128.0,0.758,0.84013575,0.8374820799999999,1.0,,['68'],-0.3158620496747165,180141
Ohio,Montgomery,39113,2018,2018-02-22 00:00:00,103055,151,,2.0,128.0,0.112,0.1269695,0.12635425,2.0,,['151'],-0.4845651908529305,180147
Ohio,Muskingum,39119,2018,2018-02-22 00:00:00,95510,146,,2.0,235.0,1.324,1.13866105,1.20949996,3.0,,"['146', '146']",6.221246436768867,180149
Ohio,Summit,39153,2018,2018-02-22 00:00:00,87286,271 / 8,,4.0,128.0,1.795,1.69865455,1.40990688,6.0,,"['271', '271', '271', '271', '8', '271', '271']",-16.998610459083643,180153
Ohio,Tuscarawas,39157,2018,2018-02-23 00:00:00,98266,416,,2.0,250.0,0.979,1.06588444,1.11239097,5.0,,"['416', '416', '416']",4.363186876055703,180154
Ohio,Union,39159,2018,2018-02-22 00:00:00,101246,739 / 287 / 33,,2.0,235.0,4.316,4.94997358,5.18767049,1.0,,"['287', '33', '33', '33', '33', '33', '287', '33', '739', '739', '33']",4.8019834077579135,180155
Ohio,Clark,39023,2018,2018-02-22 00:00:00,97956,41 / 68,,4.0,190.0,4.265,3.99819575,4.2770031,3.0,,"['68', '68', '41']",6.97332915728301,180156
Ohio,Delaware,39041,2018,2018-03-16 00:00:00,102832,750,,4.0,213.0,1.398,1.5261843,1.54723292,3.0,,"['750', '750', '750', '750']",1.379166330042837,180164
Ohio,Fulton,39051,2018,2018-03-16 00:00:00,102802,109 / 108,,2.0,137.0,1.532,1.55127359,1.52386563,1.0,,"['108', '109', '109']",-1.7668037525218308,180165
Ohio,Geauga,39055,2018,2018-03-16 00:00:00,99634,608 / 166,,2.0,229.0,0.767,0.69846075,0.87547642,6.0,,"['608', '166']",25.34368180316504,180166
Ohio,Geauga,39055,2018,2018-03-16 00:00:00,85217,528,,2.0,229.0,2.283,2.03387912,2.33766591,6.0,,['528'],14.936324731039088,180167
Ohio,Licking,39089,2018,2018-03-16 00:00:00,92983,79,,4.0,213.0,2.852,3.25498114,3.2524594500000004,2.0,,"['79', '79', '79', '79']",-0.0774717238453669,180170
Ohio,Mercer,39107,2018,2018-03-16 00:00:00,100937,49 / 219,,2.0,171.0,1.833,1.9951523,2.12756153,1.0,,"['49', '49', '219']",6.636547495647322,180172
Ohio,Montgomery,39113,2018,2018-03-16 00:00:00,100962,40 / 35,,2.0,137.0,1.015,0.9895,0.91808485,2.0,,"['35', '35', '40']",-7.217296614451753,180174
Ohio,Morrow,39117,2018,2018-03-16 00:00:00,103438,61 / 314 / 42,,2.0,213.0,3.255,3.01622009,3.42982459,2.0,,"['42', '314', '314', '61', '314', '42']",13.712676384964997,180175
Ohio,Sandusky,39143,2018,2018-03-16 00:00:00,95765,412 / 590,,2.0,199.0,1.737,1.68001693,1.77782729,4.0,,"['412', '412', '412', '590', '412', '412', '412', '412', '590']",5.821986567718708,180179
Ohio,Logan,39091,2018,2018-03-16 00:00:00,103832,347,,2.0,113.0,0.153,0.17727852,0.19943278,1.0,,['347'],12.496866512649142,180187
Ohio,Van Wert,39161,2018,2018-03-29 00:00:00,87210,30 / 697 / 190 / 189 / 66,,2.0,185.0,1.886,2.05153378,2.13151588,2.0,,"['30', '697', '66', '697', '66', '66', '190', '66', '189']",3.898648941573831,180189
Ohio,Coshocton,39031,2018,2018-03-29 00:00:00,93010,36,,4.0,216.0,3.566,3.54999531,3.89615212,2.0,,"['36', '36', '36', '36', '36', '36']",9.75090893852477,180195
Ohio,Cuyahoga,39035,2018,2018-03-29 00:00:00,85394,91,,2.0,155.0,0.981,0.8838824599999999,0.95922092,7.0,,['91'],8.523583554311069,180197
Ohio,Washington,39167,2018,2018-03-29 00:00:00,101746,60,,2.0,170.0,0.308,0.33136658,0.359591,1.0,,['60'],8.51758194806488,180210
Ohio,Wayne,39169,2018,2018-03-29 00:00:00,106519,21,,4.0,185.0,1.908,1.66986565,1.83208786,5.0,,['21'],9.71468632820851,180211
Ohio,Van Wert,39161,2018,2018-03-29 00:00:00,88851,709,,2.0,186.0,1.082,1.1949614,1.25600206,1.0,,['709'],5.108170021224133,180217
Ohio,Ashtabula,39007,2018,2018-04-12 00:00:00,88933,45 / 11,,4.0,169.0,4.16,3.81638937,4.13334855,7.0,,"['11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '45', '45']",8.305210744259044,180192
Ohio,Richland,39139,2018,2018-04-12 00:00:00,98571,430 / 42 / 13,,4.0,184.0,2.914,2.49765025,2.54673668,2.0,,"['42', '430', '13', '42']",1.9653043895957816,180206
Ohio,Coshocton,39031,2018,2018-04-12 00:00:00,92987,651 / 643 / 621,,2.0,202.0,4.789,5.02547588,5.29041399,2.0,,"['643', '643', '621', '651', '651', '651', '651', '643', '643']",5.271900936872074,180222
Ohio,Cuyahoga,39035,2018,2018-04-12 00:00:00,85401,322,,4.0,186.0,1.528,1.63889775,1.31184581,5.0,,"['322', '322']",-19.95560369766813,180223
Ohio,Jackson,39079,2018,2018-04-12 00:00:00,98152,327 / 124,,2.0,171.0,1.218,1.07049331,1.2393853700000002,3.0,,"['327', '327', '124', '327', '327']",15.77703087186973,180227
Ohio,Lake,39085,2018,2018-04-12 00:00:00,99645,528,,2.0,202.0,1.006,0.96993966,1.06899606,6.0,,"['528', '528', '528', '528', '528', '528', '528']",10.212635289085938,180228
Ohio,Logan,39091,2018,2018-04-12 00:00:00,100934,117 / 245,,2.0,110.0,0.749,0.7885806,0.74617152,1.0,,"['117', '245']",-5.377900496157271,180229
Ohio,Miami,39109,2018,2018-04-12 00:00:00,100946,718 / 571,,2.0,110.0,0.822,0.83902046,0.83300959,1.0,,"['571', '718', '571', '718']",-0.716415187300677,180230
Ohio,Morgan,39115,2018,2018-04-12 00:00:00,84516,60,,2.0,141.0,2.545,2.99052535,2.935025,1.0,,"['60', '60']",-1.855872915439422,180231
Ohio,Ross,39141,2018,2018-04-12 00:00:00,104711,23 / 159,,2.0,141.0,0.901,0.98358081,0.89722811,3.0,,"['159', '23', '159', '23']",-8.779420981179985,180232
Ohio,Wayne,39169,2018,2018-04-12 00:00:00,103544,250,,2.0,186.0,4.195,4.35814304,4.49101791,4.0,,"['250', '250', '250']",3.0488873077465626,180237
Ohio,Wayne,39169,2018,2018-04-12 00:00:00,92892,83,,4.0,155.0,0.792,0.7581163000000001,0.7239874599999999,5.0,,['83'],-4.501794777397631,180238
Ohio,Sandusky,39143,2018,2018-04-26 00:00:00,95769,6,,2.0,393.0,4.566,4.23073939,4.70946383,3.0,,"['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']",11.315384755949236,180233
Ohio,Carroll,39019,2018,2018-04-26 00:00:00,100591,39,,2.0,157.0,1.925,1.70815609,1.76126903,6.0,,"['39', '39']",3.1093727505897824,180249
Ohio,Clark,39023,2018,2018-04-26 00:00:00,92876,72,,4.0,157.0,0.744,0.71260645,0.72197126,3.0,,['72'],1.3141629576886371,180250
Ohio,Fulton,39051,2018,2018-04-26 00:00:00,101272,20,,2.0,128.0,0.787,0.78180013,0.79582274,1.0,,"['20', '20']",1.7936310652698322,180256
Ohio,Fulton,39051,2018,2018-04-26 00:00:00,102801,66,,2.0,189.0,1.292,1.31675873,1.37392491,1.0,,"['66', '66', '66', '66', '66', '66', '66']",4.341431630379248,180257
Ohio,Knox,39083,2018,2018-04-26 00:00:00,92968,768 / 36 / 308 / 13,,2.0,172.0,5.223,5.68337534,6.0208588,1.0,,"['36', '308', '36', '13', '36', '308', '13', '768', '36', '308', '308', '36', '36', '36', '768', '36', '36']",5.938081506332478,180259
Ohio,Lake,39085,2018,2018-04-26 00:00:00,84405,535 / 283,,4.0,172.0,1.023,0.93127305,0.88381436,6.0,,"['283', '535']",-5.096109030536213,180260
Ohio,Lucas,39095,2018,2018-04-26 00:00:00,99662,184,,4.0,189.0,2.565,3.0119587,2.95145311,2.0,,['184'],-2.0088452740072578,180262
Ohio,Medina,39103,2018,2018-04-26 00:00:00,92920,57,,2.0,190.0,1.578,1.45241577,1.43912339,7.0,,"['57', '57', '57']",-0.9151911094989,180265
Ohio,Seneca,39147,2018,2018-04-26 00:00:00,101281,18,,2.0,128.0,3.108,2.60528167,2.91647884,3.0,,"['18', '18', '18']",11.944857002736285,180269
Ohio,Shelby,39149,2018,2018-04-26 00:00:00,100994,48,,2.0,96.0,0.464,0.4671,0.47215265,1.0,,['48'],1.0817062727467333,180270
Ohio,Summit,39153,2018,2018-04-26 00:00:00,94126,532 / 224,,2.0,157.0,1.145,1.09140919,1.09383537,7.0,,"['532', '532', '532', '532', '532', '532', '532', '532', '532', '224', '532']",0.2222979265915889,180272
Ohio,Cuyahoga,39035,2018,2018-05-10 00:00:00,105933,14702,,4.0,143.0,1.687,1.53176875,1.73590304,7.0,,['14702'],13.326704177768352,180282
Ohio,Franklin,39049,2018,2018-05-10 00:00:00,76420,670 / 315 / 25568,,4.0,143.0,2.326,2.89154562,3.0786158,3.0,,"['315', '670', '315', '315', '670', '315', '315', '25568', '315', '315']",6.469556582683265,180285
Ohio,Jackson,39079,2018,2018-05-10 00:00:00,92011,35,,4.0,204.0,2.923,2.42664165,2.769564,3.0,,"['35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35']",14.13156120517423,180289
